제품,상세설명,AC or DC,제품군,보호종류,통신여부,통신종류,누설(지락),단락,과전류/저전류,결상,역상,과전압/저전압,전력,내장 ZCT,,,,,,,,
EOCRFE420-05DUT,"FE420, 05A/100-240V,OL+420,TB,PDM",AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFE420-80DUH,"FE420, 80A/100-240V,OL+420,Hole,PDM",AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFE420-80DUT,"FE420, 80A/100-240V,OL+420,TB,PDM",AC,Digital,전류,통신,4-20mA,불가,불가,모든조건,모든조건,모든조건,불가,불가,,,,,,,,,
EOCRFEZ-05CUH,"FEZ, 05A/100-240V,OL/GR(E),Hole,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-05CUT,"FEZ, 05A/100-240V,OL/GR(E),TB,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-80CUH,"FEZ, 80A/100-240V,OL/GR(E),Hole,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-80CUT,"FEZ, 80A/100-240V,OL/GR(E),TB,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-05AUH,"FEZ_a, 05A/100-240V,OL+GR(E),Hole,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-05AUT,"FEZ_a, 05A/100-240V,OL+GR(E),TB,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-80AUH,"FEZ_a, 80A/100-240V,OL+GR(E),Hole,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCRFEZ-80AUT,"EZ_a, 80A/100-240V,OL+GR(E),TB,PDM",AC,Digital,전류,비통신,불가,가능,불가,가능,가능,가능,불가,불가,,,,,,,,,
EOCR-PDM,EOCR-PDM Display,AC,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,,
EOCR-PDMZ,EOCR-PDM Display,AC,Accessory,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,모든조건,,,,,,,,,
EOCRPFZ-WRDUH,EOCR-PFZ 100~240 VAC/DC HOLE,AC,Digital,전류,통신,Modbus-RTU(RS485)/4-20mA,가능,가능,가능,가능,가능,불가,불가,O,,,,,,,,
EOCRPFZT-WRDUH,EOCR-PFZ 100~240 VAC/DC HOLE TMP,AC,Digital,전류,통신,Modbus-RTU(RS485)/4-20mA,가능,가능,가능,가능,가능,불가,불가,O,,,,,,,,
EOCRPFZ-WRDUT,EOCR-PFZ 100~240 VAC/DC TERMINAL,AC,Digital,전류,통신,Modbus-RTU(RS485)/4-20mA,가능,가능,가능,가능,가능,불가,불가,O,,,,,,,,
EOCRPMZ-WRDUT,EOCR-PMZ 100~240 VAC/DC TERMINAL,AC,Digital,전류,통신,Modbus-RTU(RS485)/4-20mA,가능,가능,가능,가능,가능,불가,불가,O,,,,,,,,
EOCRPMZ-WRDUH,EOCR-PMZ 100~240 VAC/DC HOLE,AC,Digital,전류,통신,Modbus-RTU(RS485)/4-20mA,가능,가능,가능,가능,가능,불가,불가,O,,,,,,,,
EOCRSSD-05S,EOCR-SSD 05 24~240 V AC/DC,AC,Digital,전류,비통신,불가,불가,불가,과전류,모든조건,불가,불가,불가,,,,,,,,,
